,Date,HomeTeam,AwayTeam,RunsHome,RunsAway,Inn,Win,Loss,Save,Time,Attendance
27,"Saturday, May 1",MIL,LAD,6.0,5.0,11.0,Perdomo,Vesia,None,4:48,12139.0
28,"Sunday, May 2",MIL,LAD,4.0,16.0,9.0,Urias,Bettinger,None,3:11,12130.0
36,"Tuesday, May 11",MIL,STL,1.0,6.0,11.0,Reyes,Boxberger,None,3:55,10595.0
37,"Wednesday, May 12",MIL,STL,4.0,1.0,9.0,Williams,Helsley,Hader,3:07,10226.0
38,"Thursday, May 13",MIL,STL,0.0,2.0,9.0,Flaherty,Burnes,Reyes,3:31,10554.0
39,"Friday, May 14",MIL,ATL,3.0,6.0,9.0,Smyly,Houser,None,3:23,12130.0
40,"Saturday, May 15",MIL,ATL,1.0,5.0,9.0,Anderson,Anderson,None,2:54,16344.0
41,"Sunday, May 16",MIL,ATL,10.0,9.0,9.0,Peralta,Ynoa,Hader,3:45,16044.0
47,"Monday, May 24",MIL,SDP,5.0,3.0,9.0,Woodruff,Snell,Hader,3:12,14524.0
48,"Tuesday, May 25",MIL,SDP,1.0,7.0,9.0,Hill,Burnes,None,3:06,13566.0
49,"Wednesday, May 26",MIL,SDP,1.0,2.0,10.0,Adams,Suter,Melancon,3:04,13478.0
50,"Thursday, May 27",MIL,SDP,6.0,5.0,10.0,Suter,Diaz,None,3:51,13572.0
54,"Monday, May 31",MIL,DET,3.0,2.0,10.0,Boxberger,Cisnero,None,3:09,23917.0
55,"Tuesday, Jun 1",MIL,DET,7.0,10.0,9.0,Holland,Lauer,None,3:37,12058.0
56,"Thursday, Jun 3",MIL,ARI,7.0,4.0,9.0,Suter,Duplantier,Hader,3:09,12392.0
57,"Friday, Jun 4",MIL,ARI,5.0,1.0,9.0,Peralta,Peacock,None,2:40,15261.0
58,"Saturday, Jun 5",MIL,ARI,7.0,5.0,9.0,Williams,Soria,Hader,3:12,20073.0
59,"Sunday, Jun 6",MIL,ARI,2.0,0.0,9.0,Burnes,Smith,Boxberger,3:04,20117.0
63,"Friday, Jun 11",MIL,PIT,7.0,4.0,9.0,Woodruff,Holmes,Hader,3:22,17678.0
64,"Saturday, Jun 12",MIL,PIT,7.0,4.0,9.0,Richards,Kuhl,Hader,3:34,20126.0
65,"Sunday, Jun 13",MIL,PIT,5.0,2.0,9.0,Suter,Bednar,Hader,3:09,20545.0
66,"Monday, Jun 14",MIL,CIN,2.0,10.0,9.0,Gutiérrez,Lauer,None,3:18,17127.0
67,"Tuesday, Jun 15",MIL,CIN,1.0,2.0,10.0,Sims,Boxberger,Garrett,3:15,16584.0
68,"Wednesday, Jun 16",MIL,CIN,1.0,2.0,9.0,Mahle,Peralta,Sims,2:56,20088.0
76,"Friday, Jun 25",MIL,COL,5.0,4.0,11.0,Williams,Gilbreath,None,4:21,31140.0
77,"Saturday, Jun 26",MIL,COL,10.0,4.0,9.0,Boxberger,Estevez,None,3:40,32573.0
